Brandname;ActiveIngredient;Strength;DosageForm;PrescribingProduct
Triplixam 10 mg/2,5 mg/10 mg, filmomhulde tabletten;AMLODIPINE/INDAPAMIDE/PERINDOPRIL;10 mg/2,5 mg/10 mg;Filmomhulde tablet;AMLODIPINE/INDAPAMIDE/PERINDOPRIL - 10 mg/2,5 mg/10 mg - Filmomhulde tablet
Mometasonfuroaat ERC VET wateremulgerende zalf 0,1%;MOMETASONFUROAAT;0,1%;Zalf;MOMETASONFUROAAT - 0,1% - Zalf
Cipramil 40 mg/ml druppels voor oraal gebruik, oplossing;CITALOPRAM;40 mg/ml;Druppels voor oraal gebruik;CITALOPRAM - 40 mg/ml - Druppels voor oraal gebruik
Buscopan, injectievloeistof 20 mg/ml;HYOSCINEBUTYL;20 mg/ml;Oplossing voor injectie;HYOSCINEBUTYL - 20 mg/ml - Oplossing voor injectie
Dermovate vloeistof voor cutaan gebruik 0,5 mg/g;CLOBETASOL;0,5 mg/g;Vloeistof voor cutaan gebruik;CLOBETASOL - 0,5 mg/g - Vloeistof voor cutaan gebruik
Triptoreline 11,25 mg Medcor, poeder en oplosmiddel voor suspensie voor injectie, met verlengde afgifte;TRIPTORELINEPAMOAAT;11,25 mg;Poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte;TRIPTORELINEPAMOAAT - 11,25 mg - Poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte
Pamorelin 11,25 mg, poeder en oplosmiddel voor suspensie voor injectie, met verlengde afgifte;TRIPTORELINEPAMOAAT;11,25 mg;Poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte;TRIPTORELINEPAMOAAT - 11,25 mg - Poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte
Lucrin PDS Depot 6 maanden 30 mg, poeder en oplosmiddel voor suspensie voor injectie;LEUPRORELINE;30 mg;Poeder en oplosmiddel voor suspensie voor injectie;LEUPRORELINE - 30 mg - Poeder en oplosmiddel voor suspensie voor injectie
Zoladex 10,8 mg, implantatiestaafje;GOSERELINE;10,8 mg;Implantatietablet;GOSERELINE - 10,8 mg - Implantatietablet
Zoladex 10,8, implantatiestaafje 10,8 mg;GOSERELINE;10,8 mg;Implantatietablet;GOSERELINE - 10,8 mg - Implantatietablet
Myfortic 360 mg, maagsapresistente tablet;MYCOFENOLAAT;360 mg;Maagsapresistente tablet;MYCOFENOLAAT - 360 mg - Maagsapresistente tablet
Levocetirizine diHCl 5 mg Focus Care, filmomhulde tabletten;LEVOCETIRIZINE;5 mg;Filmomhulde tablet;LEVOCETIRIZINE - 5 mg - Filmomhulde tablet
Madopar 250 mg, tabletten;BENSERAZIDE/LEVODOPA;250 mg;Tablet;BENSERAZIDE/LEVODOPA - 250 mg - Tablet
Levodopa/Benserazide Eureco-Pharma 200/50 mg, tabletten;BENSERAZIDE/LEVODOPA;200/50 mg;Tablet;BENSERAZIDE/LEVODOPA - 200/50 mg - Tablet
Fraxiparine Forte 19.000 IE/ 1 ml oplossing voor injectie;NADROPARINE;19,000 IE/ 1 ml;Oplossing voor injectie;NADROPARINE - 19,000 IE/ 1 ml - Oplossing voor injectie
Amiodaron HCl Mylan 200 mg, tabletten;AMIODARON;200 mg;Tablet;AMIODARON - 200 mg - Tablet
Crestor 5, filmomhulde tabletten 5 mg;ROSUVASTATINE;5 mg;Filmomhulde tablet;ROSUVASTATINE - 5 mg - Filmomhulde tablet
Tetmodis 25 mg, tabletten;TETRABENAZINE;25 mg;Tablet;TETRABENAZINE - 25 mg - Tablet
Coversyl arg 5 mg filmomhulde tabletten;PERINDOPRIL;5 mg;Filmomhulde tablet;PERINDOPRIL - 5 mg - Filmomhulde tablet
Coversyl arg 5 mg, filmomhulde tabletten;PERINDOPRIL;5 mg;Filmomhulde tablet;PERINDOPRIL - 5 mg - Filmomhulde tablet
Digoxine Eureco-Pharma, oplossing voor injectie 0,5 mg/2 ml;DIGOXINE;0,5 mg/2 ml;Oplossing voor injectie;DIGOXINE - 0,5 mg/2 ml - Oplossing voor injectie
Imigran 10 Neusspray, neusspray 10 mg/dosis;SUMATRIPTANHEMI;10 mg/dosis;Neusspray;SUMATRIPTANHEMI - 10 mg/dosis - Neusspray
Abstral 100 microgram, tabletten voor sublinguaal gebruik;FENTANYL;100 mcg;Tablet voor sublinguaal gebruik;FENTANYL - 100 mcg - Tablet voor sublinguaal gebruik
Salofalk 4 g/60 g, klysma;MESALAZINE;4 g/60 g;Oplossing voor rectaal gebruik;MESALAZINE - 4 g/60 g - Oplossing voor rectaal gebruik
Ketoconazol ERC 20 mg/g, shampoo;KETOCONAZOL;20 mg/g;Shampoo;KETOCONAZOL - 20 mg/g - Shampoo
Differin Gel 1 mg/g, gel;ADAPALEEN;1 mg/g;Gel;ADAPALEEN - 1 mg/g - Gel
Topamax Sprinkle 15 mg, harde capsules;TOPIRAMAAT;15 mg;Capsule;TOPIRAMAAT - 15 mg - Capsule
Creon 10.000, harde maagsapresistente capsules 10.000 eenheden;AMYLASE/LIPASE/PANCREATINE/PROTEASE;10,000 eenheden;Maagsapresistente capsule;AMYLASE/LIPASE/PANCREATINE/PROTEASE - 10,000 eenheden - Maagsapresistente capsule
Relpax 40, filmomhulde tabletten 40 mg;ELETRIPTAN;40 mg;Filmomhulde tablet;ELETRIPTAN - 40 mg - Filmomhulde tablet
Zyloric 200, tabletten 200 mg;ALLOPURINOL;200 mg;Tablet;ALLOPURINOL - 200 mg - Tablet
Eskazole 400 mg tabletten;ALBENDAZOL;400 mg;Filmomhulde tablet;ALBENDAZOL - 400 mg - Filmomhulde tablet
Pollinex boompollen Instelkuur, suspensie voor injectie in een voorgevulde spuit 300, 800 en 2000 SU/0,5 ml;BOOMPOLLENEXTRACT, GEMODIFICEERD EN GEADSORBEERD;800 eenheden;Suspensie voor injectie;BOOMPOLLENEXTRACT, GEMODIFICEERD EN GEADSORBEERD - 800 eenheden - Suspensie voor injectie
Haldol decanoas 100 mg/ml, oplossing voor injectie;HALOPERIDOL;100 mg/ml;Oplossing voor injectie;HALOPERIDOL - 100 mg/ml - Oplossing voor injectie
Xylocaine 100 mg/ml spray;LIDOCAÏNE;100 mg/ml;Spray voor oromucosaal gebruik;LIDOCAÏNE - 100 mg/ml - Spray voor oromucosaal gebruik
Diovan 320 mg filmomhulde tabletten;VALSARTAN;320 mg;Filmomhulde tablet;VALSARTAN - 320 mg - Filmomhulde tablet
Tacrolimus Eureco-Pharma 1 mg capsules, hard;TACROLIMUS;1 mg;Capsule;TACROLIMUS - 1 mg - Capsule
Emla, hydrofiele creme 5%;LIDOCAÏNE/PRILOCAÏNE;5%;Crème;LIDOCAÏNE/PRILOCAÏNE - 5% - Crème
Zofran 8 Zydis, smelttabletten 8 mg;ONDANSETRON;8 mg;Orodispergeerbare tablet;ONDANSETRON - 8 mg - Orodispergeerbare tablet
Zinnat 250 mg filmomhulde tabletten;CEFUROXIMAXETIL;250 mg;Filmomhulde tablet;CEFUROXIMAXETIL - 250 mg - Filmomhulde tablet
Burinex 5 mg, tabletten;BUMETANIDE;5 mg;Tablet;BUMETANIDE - 5 mg - Tablet
Risperidon G.L. 3 mg filmomhulde tabletten, filmomhulde tabletten;RISPERIDON;3 mg;Filmomhulde tablet;RISPERIDON - 3 mg - Filmomhulde tablet
Dimethylfumaraat Macleods 120 mg maagsapresistente harde capsules;DIMETHYL;120 mg;Maagsapresistente capsule;DIMETHYL - 120 mg - Maagsapresistente capsule
Fulvestrant Glenmark 250 mg oplossing voor injectie in een voorgevulde spuit;FULVESTRANT;250 mg;Oplossing voor injectie;FULVESTRANT - 250 mg - Oplossing voor injectie
Sotalol HCl Sandoz 160 mg, tabletten;SOTALOL;160 mg;Tablet;SOTALOL - 160 mg - Tablet
Sendolor 1 mg/ml, oplossing voor infusie;MORFINE;1 mg/ml;Oplossing voor infusie;MORFINE - 1 mg/ml - Oplossing voor infusie
Prescoriel 12,5 mg/5 mg filmomhulde tabletten;CARVEDILOL/IVABRADINE;12,5 mg/5 mg;Filmomhulde tablet;CARVEDILOL/IVABRADINE - 12,5 mg/5 mg - Filmomhulde tablet
Pirfenidon Accord 801 mg, filmomhulde tabletten;PIRFENIDON;801 mg;Filmomhulde tablet;PIRFENIDON - 801 mg - Filmomhulde tablet
Mitomycine Accord 40 mg, poeder voor oplossing voor injectie/infusie;MITOMYCINE;40 mg;Poeder voor oplossing voor injectie of infusie;MITOMYCINE - 40 mg - Poeder voor oplossing voor injectie of infusie
Dasatinib Synthon 70 mg, filmomhulde tabletten;DASATINIB;70 mg;Filmomhulde tablet;DASATINIB - 70 mg - Filmomhulde tablet
Flucloxacilline CF, poeder voor injectievloeistof 125 mg, 250 mg, 500 mg en 1 g;FLUCLOXACILLINE;125 mg;Poeder voor oplossing voor injectie;FLUCLOXACILLINE - 125 mg - Poeder voor oplossing voor injectie
Melfalanhydrochloride Teva 50 mg, poeder en oplosmiddel voor oplossing voor injectie/infusie;MELFALAN;50 mg;Poeder en oplosmiddel voor oplossing voor injectie;MELFALAN - 50 mg - Poeder en oplosmiddel voor oplossing voor injectie
Azacitidine Eugia 25 mg/ml, poeder voor suspensie voor injectie;AZACITIDINE;25 mg/ml;Poeder voor suspensie voor injectie;AZACITIDINE - 25 mg/ml - Poeder voor suspensie voor injectie
Natriumvalproaat chrono 500 mg Teva, tabletten met gereguleerde afgifte;VALPROAAT/VALPROÏNEZUUR;500 mg;Tablet met gereguleerde afgifte;VALPROAAT/VALPROÏNEZUUR - 500 mg - Tablet met gereguleerde afgifte
Mirtazapine Viatris 45 mg, filmomhulde tabletten;MIRTAZAPINE;45 mg;Filmomhulde tablet;MIRTAZAPINE - 45 mg - Filmomhulde tablet
Abirateron betapharm 500 mg, filmomhulde tabletten;ABIRATERON;500 mg;Filmomhulde tablet;ABIRATERON - 500 mg - Filmomhulde tablet
Irinotecan Amarox 20 mg/ml, concentraat voor oplossing voor infusie;IRINOTECAN;20 mg/ml;Concentraat voor oplossing voor infusie;IRINOTECAN - 20 mg/ml - Concentraat voor oplossing voor infusie
Oxycodon-HCl Accord retard 20 mg tabletten met verlengde afgifte;OXYCODON;20 mg;Tablet met verlengde afgifte;OXYCODON - 20 mg - Tablet met verlengde afgifte
Ticagrelor Krka 90 mg filmomhulde tabletten;TICAGRELOR;90 mg;Filmomhulde tablet;TICAGRELOR - 90 mg - Filmomhulde tablet
Carboplatine Fresenius Kabi 10 mg/ml, concentraat voor oplossing voor infusie;CARBOPLATINE;10 mg/ml;Concentraat voor oplossing voor infusie;CARBOPLATINE - 10 mg/ml - Concentraat voor oplossing voor infusie
Levofloxacine Beximco 500 mg, filmomhulde tabletten;LEVOFLOXACINE;500 mg;Filmomhulde tablet;LEVOFLOXACINE - 500 mg - Filmomhulde tablet
Glimepiride Accord 3 mg tabletten;GLIMEPIRIDE;3 mg;Tablet;GLIMEPIRIDE - 3 mg - Tablet
Telmisartan/HCT Teva 80/25 mg, tabletten;HYDROCHLOORTHIAZIDE/TELMISARTAN;80/25 mg;Tablet;HYDROCHLOORTHIAZIDE/TELMISARTAN - 80/25 mg - Tablet
Lusama 330 mg tabletten met verlengde afgifte;PREGABALINE;330 mg;Tablet met verlengde afgifte;PREGABALINE - 330 mg - Tablet met verlengde afgifte
Medacinase 50.000 IE, poeder voor oplossing voor intraveneuze infusie;UROKINASE;50,000 IE;Poeder voor oplossing voor infusie;UROKINASE - 50,000 IE - Poeder voor oplossing voor infusie
Locacorten, creme 0,02%;FLUMETASON;0,02%;Crème;FLUMETASON - 0,02% - Crème
Urapidil Kalceks 25 mg oplossing voor injectie/infusie;URAPIDIL;25 mg;Oplossing voor injectie of infusie;URAPIDIL - 25 mg - Oplossing voor injectie of infusie
Danaparoid natrium Viatris, 750 anti-Xa-eenheden, oplossing voor injectie;DANAPAROID;750 anti-Xa-eenheden;Oplossing voor injectie;DANAPAROID - 750 anti-Xa-eenheden - Oplossing voor injectie
Everofin 10 mg, tabletten;EVEROLIMUS;10 mg;Tablet;EVEROLIMUS - 10 mg - Tablet
Metoprololsuccinaat 1A Pharma retard 25, tabletten met gereguleerde afgifte 23,75 mg;METOPROLOL;23,75 mg;Tablet met verlengde afgifte;METOPROLOL - 23,75 mg - Tablet met verlengde afgifte
Irbesof 300 mg, filmomhulde tabletten;IRBESARTAN;300 mg;Filmomhulde tablet;IRBESARTAN - 300 mg - Filmomhulde tablet
Palladon injectie 2 mg/ml, oplossing voor injectie of infusie;HYDROMORFON;2 mg/ml;Oplossing voor injectie of infusie;HYDROMORFON - 2 mg/ml - Oplossing voor injectie of infusie
Cefazoline Mylan, poeder voor injectievloeistof 1 en 2 g;CEFAZOLINE;1 eenheden;Poeder voor oplossing voor injectie;CEFAZOLINE - 1 eenheden - Poeder voor oplossing voor injectie
Memantine CF 20 mg, filmomhulde tabletten;MEMANTINE;20 mg;Filmomhulde tablet;MEMANTINE - 20 mg - Filmomhulde tablet
Ticagrelor CF 90 mg, filmomhulde tabletten;TICAGRELOR;90 mg;Filmomhulde tablet;TICAGRELOR - 90 mg - Filmomhulde tablet
Iohexol ICG farma 647 mg/ml (300 mg jodium/ml), oplossing voor injectie;IOHEXOL;647 mg/ml;Oplossing voor injectie;IOHEXOL - 647 mg/ml - Oplossing voor injectie
Lenalidomide RAFARM 25 mg, harde capsules;LENALIDOMIDE;25 mg;Capsule;LENALIDOMIDE - 25 mg - Capsule
Simvastatine 20 mg Teva, filmomhulde tabletten;SIMVASTATINE;20 mg;Filmomhulde tablet;SIMVASTATINE - 20 mg - Filmomhulde tablet
Labetalol HCl Mylan 200 mg, tabletten;LABETALOL;200 mg;Filmomhulde tablet;LABETALOL - 200 mg - Filmomhulde tablet
Lamivudine/Zidovudine Aurobindo 150/300 mg, filmomhulde tabletten;LAMIVUDINE/ZIDOVUDINE;150/300 mg;Filmomhulde tablet;LAMIVUDINE/ZIDOVUDINE - 150/300 mg - Filmomhulde tablet
Crestor 10, filmomhulde tabletten 10 mg;ROSUVASTATINE;10 mg;Filmomhulde tablet;ROSUVASTATINE - 10 mg - Filmomhulde tablet
Nimotop 30 mg, filmomhulde tabletten;NIMODIPINE;30 mg;Filmomhulde tablet;NIMODIPINE - 30 mg - Filmomhulde tablet
Ezetimibe/Simvastatine Viatris 10 mg/80 mg, tabletten;EZETIMIB/SIMVASTATINE;10 mg/80 mg;Tablet;EZETIMIB/SIMVASTATINE - 10 mg/80 mg - Tablet
Neurontin 600, filmomhulde tabletten 600 mg;GABAPENTINE;600 mg;Filmomhulde tablet;GABAPENTINE - 600 mg - Filmomhulde tablet
SILANDYL 25 mg, orodispergeerbare film;SILDENAFIL;25 mg;Orodispergeerbare film;SILDENAFIL - 25 mg - Orodispergeerbare film
Flunitrazepam CF 1 mg, tabletten;FLUNITRAZEPAM;1 mg;Tablet;FLUNITRAZEPAM - 1 mg - Tablet
Recombinate 1000 IE/10 ml, Poeder en oplosmiddel voor oplossing voor injectie;OCTOCOG ALFA;1000 IE/10 ml;Poeder en oplosmiddel voor oplossing voor injectie;OCTOCOG ALFA - 1000 IE/10 ml - Poeder en oplosmiddel voor oplossing voor injectie
Ursodeoxycholzuur PI 500 mg harde capsules;URSODEOXYCHOLZUUR;500 mg;Capsule;URSODEOXYCHOLZUUR - 500 mg - Capsule
Kolneb, 2 miljoen Internationale Eenheden (IE), poeder voor verneveloplossing;COLISTIMETHAAT  (Component A en B);2 miljoen IE;Poeder voor verneveloplossing;COLISTIMETHAAT  (Component A en B) - 2 miljoen IE - Poeder voor verneveloplossing
Risedronaatnatrium Aurobindo 30 mg, filmomhulde tabletten;RISEDRONAAT;30 mg;Filmomhulde tablet;RISEDRONAAT - 30 mg - Filmomhulde tablet
Methadon HCl Aurobindo 40 mg, tabletten;METHADON;40 mg;Tablet;METHADON - 40 mg - Tablet
OxyNorm Instant 20 mg, orodispergeerbare tabletten;OXYCODON;20 mg;Orodispergeerbare tablet;OXYCODON - 20 mg - Orodispergeerbare tablet
Metoprololsuccinaat Aurobindo 200, tabletten met verlengde afgifte 190 mg;METOPROLOL;190 mg;Tablet met verlengde afgifte;METOPROLOL - 190 mg - Tablet met verlengde afgifte
Timolol Sandoz 5 mg/ml, oogdruppels;TIMOLOL;5 mg/ml;Oogdruppels;TIMOLOL - 5 mg/ml - Oogdruppels
Pemetrexed BioOrganics 1000 mg, poeder voor concentraat voor oplossing voor infusie;PEMETREXED;1000 mg;Poeder voor concentraat voor oplossing voor infusie;PEMETREXED - 1000 mg - Poeder voor concentraat voor oplossing voor infusie
Sildenafil Aurobindo 25 mg, filmomhulde tabletten;SILDENAFIL;25 mg;Filmomhulde tablet;SILDENAFIL - 25 mg - Filmomhulde tablet
Glimepiride Aurobindo 3 mg, tabletten;GLIMEPIRIDE;3 mg;Tablet;GLIMEPIRIDE - 3 mg - Tablet
Labetalol HCl Teva 400 mg, omhulde tabletten;LABETALOL;400 mg;Filmomhulde tablet;LABETALOL - 400 mg - Filmomhulde tablet
Posaconazol Biocon 100 mg maagsapresistente tabletten;POSACONAZOL/TITAANDIOXIDE (E 171);100 mg;Maagsapresistente tablet;POSACONAZOL/TITAANDIOXIDE (E 171) - 100 mg - Maagsapresistente tablet
Colecalciferol Sandoz 800 IE, zachte capsules;CHOLECALCIFEROL;800 IE;Capsule;CHOLECALCIFEROL - 800 IE - Capsule
Urokinase Devrimed 10.000 IE, poeder voor oplossing voor injectie/infusie;UROKINASE;10,000 IE;Poeder voor oplossing voor injectie of infusie;UROKINASE - 10,000 IE - Poeder voor oplossing voor injectie of infusie
Prenome 20 mg maagsapresistente capsule, hard;OMEPRAZOL;20 mg;Maagsapresistente capsule;OMEPRAZOL - 20 mg - Maagsapresistente capsule
Paroxetine 30 mg, tabletten;PAROXETINE;30 mg;Tablet;PAROXETINE - 30 mg - Tablet
Aciclovir Hospira 25 mg/ml, concentraat voor oplossing voor infusie;ACICLOVIR;25 mg/ml;Concentraat voor oplossing voor infusie;ACICLOVIR - 25 mg/ml - Concentraat voor oplossing voor infusie
Rizatriptan disp 10 mg Teva, orodispergeerbare tabletten;RIZATRIPTAN;10 mg;Orodispergeerbare tablet;RIZATRIPTAN - 10 mg - Orodispergeerbare tablet
Fomicyt 40 mg/ml poeder voor oplossing voor infusie;FOSFOMYCINE;40 mg/ml;Poeder voor oplossing voor infusie;FOSFOMYCINE - 40 mg/ml - Poeder voor oplossing voor infusie
Exemestaan Hikma 25 mg, filmomhulde tabletten;EXEMESTAAN;25 mg;Filmomhulde tablet;EXEMESTAAN - 25 mg - Filmomhulde tablet
Tenofovir disoproxil Sandoz 245 mg, filmomhulde tabletten;TENOFOVIRDISOPROXIL;245 mg;Filmomhulde tablet;TENOFOVIRDISOPROXIL - 245 mg - Filmomhulde tablet
Sufentanil-hameln 10 microgram/ml, oplossing voor injectie/infusie;SUFENTANIL;10 mcg/ml;Oplossing voor injectie of infusie;SUFENTANIL - 10 mcg/ml - Oplossing voor injectie of infusie
Prolastin 4000 mg, poeder en oplosmiddel voor oplossing voor infusie;ALFA 1 PROTEINASE INHIBITOR, HUMAAN;4000 mg;Poeder en oplosmiddel voor oplossing voor infusie;ALFA 1 PROTEINASE INHIBITOR, HUMAAN - 4000 mg - Poeder en oplosmiddel voor oplossing voor infusie
Amikacine Hospira 500 mg/2 ml oplossing voor injectie;AMIKACINE;500 mg/2 ml;Oplossing voor injectie;AMIKACINE - 500 mg/2 ml - Oplossing voor injectie
Beriplex P/N 1000 IE, poeder en oplosmiddel voor oplossing voor injectie;FACTOR II, HUMAAN/FACTOR IX, HUMAAN/FACTOR VII, HUMAAN/FACTOR X, HUMAAN/PROTEÏNE C, HUMAAN/PROTEÏNE S, HUMAAN;1000 IE;Poeder en oplosmiddel voor oplossing voor injectie;FACTOR II, HUMAAN/FACTOR IX, HUMAAN/FACTOR VII, HUMAAN/FACTOR X, HUMAAN/PROTEÏNE C, HUMAAN/PROTEÏNE S, HUMAAN - 1000 IE - Poeder en oplosmiddel voor oplossing voor injectie
Olanzapine Neuraxpharm 15 mg, filmomhulde tabletten;OLANZAPINE;15 mg;Filmomhulde tablet;OLANZAPINE - 15 mg - Filmomhulde tablet
Tapentadol retard CF 50 mg, tabletten met verlengde afgifte;TAPENTADOL;50 mg;Tablet met verlengde afgifte;TAPENTADOL - 50 mg - Tablet met verlengde afgifte
Truxal 50 mg filmomhulde tabletten, filmomhulde tabletten;CHLOORPROTHIXEEN;50 mg;Filmomhulde tablet;CHLOORPROTHIXEEN - 50 mg - Filmomhulde tablet
Citanest 20 mg/ml, oplossing voor injectie;PRILOCAÏNE;20 mg/ml;Oplossing voor injectie;PRILOCAÏNE - 20 mg/ml - Oplossing voor injectie
Ivabradine CF 7,5 mg, filmomhulde tabletten;IVABRADINE;7,5 mg;Filmomhulde tablet;IVABRADINE - 7,5 mg - Filmomhulde tablet
Simvastatine Accord 80 mg filmomhulde tabletten;SIMVASTATINE;80 mg;Filmomhulde tablet;SIMVASTATINE - 80 mg - Filmomhulde tablet
Sclerthon 40 mg/ml, oplossing voor injectie in een voorgevulde spuit;GLATIRAMEER;40 mg/ml;Oplossing voor injectie;GLATIRAMEER - 40 mg/ml - Oplossing voor injectie
Zolpidemtartraat Viatris 10 mg, filmomhulde tabletten;ZOLPIDEM;10 mg;Filmomhulde tablet;ZOLPIDEM - 10 mg - Filmomhulde tablet
Sertraline Viatris 20 mg/ml, concentraat voor oplossing voor oraal gebruik;SERTRALINE;20 mg/ml;Vloeistof voor oraal gebruik;SERTRALINE - 20 mg/ml - Vloeistof voor oraal gebruik
Methadon HCl Tiofarma 80 mg tabletten;METHADON;80 mg;Tablet;METHADON - 80 mg - Tablet
Irbesartan 150 mg Focus, tabletten;IRBESARTAN;150 mg;Tablet;IRBESARTAN - 150 mg - Tablet
Atazanavir Accord 200 mg harde capsules;ATAZANAVIR;200 mg;Capsule;ATAZANAVIR - 200 mg - Capsule
Irbesartan Viatris 150 mg, tabletten;IRBESARTAN;150 mg;Tablet;IRBESARTAN - 150 mg - Tablet
Vasotec 16 mg/5 mg/40 mg, tabletten;AMLODIPINE/ATORVASTATINE/CANDESARTAN;16 mg/5 mg/40 mg;Tablet;AMLODIPINE/ATORVASTATINE/CANDESARTAN - 16 mg/5 mg/40 mg - Tablet
Aripiprazol Laboratorios Liconsa 15 mg tabletten;ARIPIPRAZOL;15 mg;Tablet;ARIPIPRAZOL - 15 mg - Tablet
Androcur 10, tabletten 10 mg;CYPROTERON;10 mg;Tablet;CYPROTERON - 10 mg - Tablet
Morfine HCl retard CF 100 mg, tabletten met verlengde afgifte;MORFINE;100 mg;Tablet met verlengde afgifte;MORFINE - 100 mg - Tablet met verlengde afgifte
Carnitene, 200 mg/ml oplossing voor injectie;LEVOCARNITINE;200 mg/ml;Oplossing voor injectie;LEVOCARNITINE - 200 mg/ml - Oplossing voor injectie
Ezetimibe Sandoz 10 mg, tabletten;EZETIMIB;10 mg;Tablet;EZETIMIB - 10 mg - Tablet
Topotecan Sandoz 1 mg/ml, concentraat voor oplossing voor infusie;TOPOTECAN;1 mg/ml;Concentraat voor oplossing voor infusie;TOPOTECAN - 1 mg/ml - Concentraat voor oplossing voor infusie
Latanoxam 50 microgram/ml, oogdruppels, oplossing;LATANOPROST;50 mcg/ml;Oogdruppels;LATANOPROST - 50 mcg/ml - Oogdruppels
Entrizen 12,5 mg, filmomhulde tabletten;LOSARTAN;12,5 mg;Filmomhulde tablet;LOSARTAN - 12,5 mg - Filmomhulde tablet
Carvedilol Viatris 6,25 mg, filmomhulde tabletten;CARVEDILOL;6,25 mg;Filmomhulde tablet;CARVEDILOL - 6,25 mg - Filmomhulde tablet
Metvix 160 mg/g crème;METHYLAMINOLEVULINAAT;160 mg/g;Crème;METHYLAMINOLEVULINAAT - 160 mg/g - Crème
Citalopram Aristo 10 mg filmomhulde tabletten;CITALOPRAM;10 mg;Filmomhulde tablet;CITALOPRAM - 10 mg - Filmomhulde tablet
Perindopril tert-butylamine/Amlodipine Sandoz 4 mg/5 mg, tabletten;AMLODIPINE/PERINDOPRIL;4 mg/5 mg;Tablet;AMLODIPINE/PERINDOPRIL - 4 mg/5 mg - Tablet
Levofloxacine Sandoz 250 mg, filmomhulde tabletten;LEVOFLOXACINE;250 mg;Filmomhulde tablet;LEVOFLOXACINE - 250 mg - Filmomhulde tablet
Entecavir Amarox 1 mg filmomhulde tabletten;ENTECAVIR;1 mg;Filmomhulde tablet;ENTECAVIR - 1 mg - Filmomhulde tablet
Brinzolamide/Timolol Mylan 10+5 mg/ml, oogdruppels, suspensie;BRINZOLAMIDE/TIMOLOL;5 mg/ml;Oogdruppels;BRINZOLAMIDE/TIMOLOL - 5 mg/ml - Oogdruppels
Pirfenidon Xiromed 267 mg filmomhulde tabletten;PIRFENIDON;267 mg;Filmomhulde tablet;PIRFENIDON - 267 mg - Filmomhulde tablet
Esomeprazol Sandoz 40 mg, maagsapresistente capsules, hard;ESOMEPRAZOL;40 mg;Maagsapresistente capsule;ESOMEPRAZOL - 40 mg - Maagsapresistente capsule
Sumatriptan Aurobindo 100 mg tabletten;SUMATRIPTAN;100 mg;Tablet;SUMATRIPTAN - 100 mg - Tablet
Transiderm-Nitro 5, pleister voor transdermaal gebruik 5 mg/24 uur;NITROGLYCERINE;5 mg/24 uur;Pleister voor transdermaal gebruik;NITROGLYCERINE - 5 mg/24 uur - Pleister voor transdermaal gebruik
Pomalidomide Synthon 2 mg, harde capsules;POMALIDOMIDE;2 mg;Capsule;POMALIDOMIDE - 2 mg - Capsule
Tapentadol retard Teva 25 mg, tabletten met verlengde afgifte;TAPENTADOL;25 mg;Tablet met verlengde afgifte;TAPENTADOL - 25 mg - Tablet met verlengde afgifte
Carvedilol Sandoz 3,125 mg, tabletten;CARVEDILOL;3,125 mg;Tablet;CARVEDILOL - 3,125 mg - Tablet
Anidulafungine Accord 100 mg poeder voor concentraat voor oplossing voor infusie;ANIDULAFUNGINE;100 mg;Poeder voor concentraat voor oplossing voor infusie;ANIDULAFUNGINE - 100 mg - Poeder voor concentraat voor oplossing voor infusie
Brevibloc 10 mg/ml, oplossing voor injectie;ESMOLOL;10 mg/ml;Oplossing voor injectie;ESMOLOL - 10 mg/ml - Oplossing voor injectie
Zomig ZIP-2,5, orodispergeerbare tabletten 2,5 mg;ZOLMITRIPTAN;2,5 mg;Orodispergeerbare tablet;ZOLMITRIPTAN - 2,5 mg - Orodispergeerbare tablet
Candesartan cilexetil Teva 16 mg, tabletten;CANDESARTAN;16 mg;Tablet;CANDESARTAN - 16 mg - Tablet
Ecoxyton 90 mg filmomhulde tabletten;ETORICOXIB;90 mg;Filmomhulde tablet;ETORICOXIB - 90 mg - Filmomhulde tablet
Irbesartan/hydrochloorthiazide Xiromed 300 mg/12,5 mg tabletten;HYDROCHLOORTHIAZIDE/IRBESARTAN;300 mg/12,5 mg;Tablet;HYDROCHLOORTHIAZIDE/IRBESARTAN - 300 mg/12,5 mg - Tablet
Ezetimibe/Simvastatine Glenmark 10 mg/20 mg tabletten;EZETIMIB/SIMVASTATINE;10 mg/20 mg;Tablet;EZETIMIB/SIMVASTATINE - 10 mg/20 mg - Tablet
Palladon-IR capsules 2,6 mg, capsules;HYDROMORFON;2,6 mg;Capsule;HYDROMORFON - 2,6 mg - Capsule
Divisun 4000 IE, tabletten;CHOLECALCIFEROL/CHOLECALCIFEROL CONCENTRAAT, POEDERVORM;4000 IE;Tablet;CHOLECALCIFEROL/CHOLECALCIFEROL CONCENTRAAT, POEDERVORM - 4000 IE - Tablet
Topiramaat Accord 100 mg filmomhulde tabletten;TOPIRAMAAT;100 mg;Filmomhulde tablet;TOPIRAMAAT - 100 mg - Filmomhulde tablet
