Brandname;ActiveIngredient;Strength;DosageForm;PrescribingProduct;Kolom1
Alutard SQ 5-Graspollen 100.000 SQ-E/ml, suspensie voor injectie;WATERIG EXTRACT VAN EEN MENGSEL VAN ALOPECURIS PRATENSIS POLLEN, DACTYLIS PRATENSIS POLLEN, FESTUCA PRATENSIS POLLEN, LOLIUM PERENNE POLLEN, PHLEUM PRATENSE POLLEN;100,000 SQ-eenheden/ml;Suspensie voor injectie;WATERIG EXTRACT VAN EEN MENGSEL VAN ALOPECURIS PRATENSIS POLLEN, DACTYLIS PRATENSIS POLLEN, FESTUCA PRATENSIS POLLEN, LOLIUM PERENNE POLLEN, PHLEUM PRATENSE POLLEN - 100,000 SQ-eenheden/ml - Suspensie voor injectie;214
ProQuad 0,5 ml, poeder en oplosmiddel voor suspensie voor injectie in voorgevulde spuit;LEVEND VERZWAKT BOFVIRUSVACCIN/LEVEND VERZWAKT MAZELENVIRUSVACCIN/LEVEND VERZWAKT RUBELLAVIRUSVACCIN/VARICELLA ZOSTER, LEVEND, GEVRIESDROOGD;0,5 ml;Poeder en oplosmiddel voor suspensie voor injectie;LEVEND VERZWAKT BOFVIRUSVACCIN/LEVEND VERZWAKT MAZELENVIRUSVACCIN/LEVEND VERZWAKT RUBELLAVIRUSVACCIN/VARICELLA ZOSTER, LEVEND, GEVRIESDROOGD - 0,5 ml - Poeder en oplosmiddel voor suspensie voor injectie;202
ProQuad 0,5 ml, poeder en oplosmiddel voor suspensie voor injectie;LEVEND VERZWAKT BOFVIRUSVACCIN/LEVEND VERZWAKT MAZELENVIRUSVACCIN/LEVEND VERZWAKT RUBELLAVIRUSVACCIN/VARICELLA ZOSTER, LEVEND, GEVRIESDROOGD;0,5 ml;Poeder en oplosmiddel voor suspensie voor injectie;LEVEND VERZWAKT BOFVIRUSVACCIN/LEVEND VERZWAKT MAZELENVIRUSVACCIN/LEVEND VERZWAKT RUBELLAVIRUSVACCIN/VARICELLA ZOSTER, LEVEND, GEVRIESDROOGD - 0,5 ml - Poeder en oplosmiddel voor suspensie voor injectie;202
Poliomyelitisvaccin multidose, suspensie voor injectie, 2,5 ml;GEÏNACTIVEERD POLIOMYELITIS VIRUS TYPE 1, stam Mahoney/GEÏNACTIVEERD POLIOMYELITIS VIRUS TYPE 2, stam MEF1/GEÏNACTIVEERD POLIOMYELITIS VIRUS TYPE 3, stam Saukett;2,5 ml;Suspensie voor injectie;GEÏNACTIVEERD POLIOMYELITIS VIRUS TYPE 1, stam Mahoney/GEÏNACTIVEERD POLIOMYELITIS VIRUS TYPE 2, stam MEF1/GEÏNACTIVEERD POLIOMYELITIS VIRUS TYPE 3, stam Saukett - 2,5 ml - Suspensie voor injectie;196
Poliomyelitisvaccin, suspensie voor injectie 0,5 ml;GEÏNACTIVEERD POLIOMYELITIS VIRUS TYPE 1, stam Mahoney/GEÏNACTIVEERD POLIOMYELITIS VIRUS TYPE 2, stam MEF1/GEÏNACTIVEERD POLIOMYELITIS VIRUS TYPE 3, stam Saukett;0,5 ml;Suspensie voor injectie;GEÏNACTIVEERD POLIOMYELITIS VIRUS TYPE 1, stam Mahoney/GEÏNACTIVEERD POLIOMYELITIS VIRUS TYPE 2, stam MEF1/GEÏNACTIVEERD POLIOMYELITIS VIRUS TYPE 3, stam Saukett - 0,5 ml - Suspensie voor injectie;196
ACARIZAX 12 SQ-HDM, lyofilisaat voor sublinguaal gebruik;DERMATOPHAGOIDES FARINAE, GESTANDAARDIZEERD ALLERGENEN EXTRACT/DERMATOPHAGOIDES PTERONYSSINUS, GESTANDAARDIZEERD ALLERGENEN EXTRACT;12 SQ-HDM;Lyofilisaat voor sublinguaal gebruik;DERMATOPHAGOIDES FARINAE, GESTANDAARDIZEERD ALLERGENEN EXTRACT/DERMATOPHAGOIDES PTERONYSSINUS, GESTANDAARDIZEERD ALLERGENEN EXTRACT - 12 SQ-HDM - Lyofilisaat voor sublinguaal gebruik;182
Acarizax 12 SQ-HDM, lyofilisaat voor sublinguaal gebruik;DERMATOPHAGOIDES FARINAE, GESTANDAARDIZEERD ALLERGENEN EXTRACT/DERMATOPHAGOIDES PTERONYSSINUS, GESTANDAARDIZEERD ALLERGENEN EXTRACT;12 SQ-HDM;Lyofilisaat voor sublinguaal gebruik;DERMATOPHAGOIDES FARINAE, GESTANDAARDIZEERD ALLERGENEN EXTRACT/DERMATOPHAGOIDES PTERONYSSINUS, GESTANDAARDIZEERD ALLERGENEN EXTRACT - 12 SQ-HDM - Lyofilisaat voor sublinguaal gebruik;182
ACARIZAX® 12 SQ-HDM, lyofilisaat voor sublinguaal gebruik;DERMATOPHAGOIDES FARINAE, GESTANDAARDIZEERD ALLERGENEN EXTRACT/DERMATOPHAGOIDES PTERONYSSINUS, GESTANDAARDIZEERD ALLERGENEN EXTRACT;12 SQ-HDM;Lyofilisaat voor sublinguaal gebruik;DERMATOPHAGOIDES FARINAE, GESTANDAARDIZEERD ALLERGENEN EXTRACT/DERMATOPHAGOIDES PTERONYSSINUS, GESTANDAARDIZEERD ALLERGENEN EXTRACT - 12 SQ-HDM - Lyofilisaat voor sublinguaal gebruik;182
Spherox 10-70 sferoïden/cm² suspensie voor implantatie;AUTOLOGE BOLVORMIGE AGGREGAAT VAN ARTICULAIR CHONDROCYT CELLEN GEDIFFERENTIEERD IN EEN 3-DIMENSIONAAL ROND MULTICELLULAIR STRUCTUUR;70 sferoïden/cm²;Suspensie voor implantatie;AUTOLOGE BOLVORMIGE AGGREGAAT VAN ARTICULAIR CHONDROCYT CELLEN GEDIFFERENTIEERD IN EEN 3-DIMENSIONAAL ROND MULTICELLULAIR STRUCTUUR - 70 sferoïden/cm² - Suspensie voor implantatie;179
Cofact, poeder en oplosmiddel voor oplossing voor injectie  250 en 500 IE;FACTOR II, HUMAAN/FACTOR IX, HUMAAN/FACTOR VII, HUMAAN/FACTOR X, HUMAAN/PROTEÏNE C, HUMAAN/PROTEÏNE S, HUMAAN;250 eenheden;Poeder en oplosmiddel voor oplossing voor injectie;FACTOR II, HUMAAN/FACTOR IX, HUMAAN/FACTOR VII, HUMAAN/FACTOR X, HUMAAN/PROTEÏNE C, HUMAAN/PROTEÏNE S, HUMAAN - 250 eenheden - Poeder en oplosmiddel voor oplossing voor injectie;177
ACARIZAX 12 SQ-HDM, lyofilisaat voor oraal gebruik;DERMATOPHAGOIDES FARINAE, GESTANDAARDIZEERD ALLERGENEN EXTRACT/DERMATOPHAGOIDES PTERONYSSINUS, GESTANDAARDIZEERD ALLERGENEN EXTRACT;12 SQ-HDM;Lyofilisaat voor oraal gebruik;DERMATOPHAGOIDES FARINAE, GESTANDAARDIZEERD ALLERGENEN EXTRACT/DERMATOPHAGOIDES PTERONYSSINUS, GESTANDAARDIZEERD ALLERGENEN EXTRACT - 12 SQ-HDM - Lyofilisaat voor oraal gebruik;176
Actair 100 IR, tabletten voor sublinguaal gebruik;DERMATOPHAGOIDES FARINAE, GESTANDAARDIZEERD ALLERGENEN EXTRACT/DERMATOPHAGOIDES PTERONYSSINUS, GESTANDAARDIZEERD ALLERGENEN EXTRACT;100 IR;Tablet voor sublinguaal gebruik;DERMATOPHAGOIDES FARINAE, GESTANDAARDIZEERD ALLERGENEN EXTRACT/DERMATOPHAGOIDES PTERONYSSINUS, GESTANDAARDIZEERD ALLERGENEN EXTRACT - 100 IR - Tablet voor sublinguaal gebruik;174
Actair 100 IR en 300 IR, tabletten voor sublinguaal gebruik;DERMATOPHAGOIDES FARINAE, GESTANDAARDIZEERD ALLERGENEN EXTRACT/DERMATOPHAGOIDES PTERONYSSINUS, GESTANDAARDIZEERD ALLERGENEN EXTRACT;100 IR;Tablet voor sublinguaal gebruik;DERMATOPHAGOIDES FARINAE, GESTANDAARDIZEERD ALLERGENEN EXTRACT/DERMATOPHAGOIDES PTERONYSSINUS, GESTANDAARDIZEERD ALLERGENEN EXTRACT - 100 IR - Tablet voor sublinguaal gebruik;174
Actair 300 IR, tabletten voor sublinguaal gebruik;DERMATOPHAGOIDES FARINAE, GESTANDAARDIZEERD ALLERGENEN EXTRACT/DERMATOPHAGOIDES PTERONYSSINUS, GESTANDAARDIZEERD ALLERGENEN EXTRACT;300 IR;Tablet voor sublinguaal gebruik;DERMATOPHAGOIDES FARINAE, GESTANDAARDIZEERD ALLERGENEN EXTRACT/DERMATOPHAGOIDES PTERONYSSINUS, GESTANDAARDIZEERD ALLERGENEN EXTRACT - 300 IR - Tablet voor sublinguaal gebruik;174
Meriofert spuit 150 IE, poeder en oplosmiddel voor oplossing voor injectie;FOLLIKEL-STIMULEREND HORMOON/HUMAAN CHORIONGONADOTROFINE/HUMAAN MENOPAUZAAL GONADOTROFINE/LUTEÏNISEREND HORMOON;150 IE;Poeder en oplosmiddel voor oplossing voor injectie;FOLLIKEL-STIMULEREND HORMOON/HUMAAN CHORIONGONADOTROFINE/HUMAAN MENOPAUZAAL GONADOTROFINE/LUTEÏNISEREND HORMOON - 150 IE - Poeder en oplosmiddel voor oplossing voor injectie;173
Meriofert 150 IE, poeder en oplosmiddel voor oplossing voor injectie;FOLLIKEL-STIMULEREND HORMOON/HUMAAN CHORIONGONADOTROFINE/HUMAAN MENOPAUZAAL GONADOTROFINE/LUTEÏNISEREND HORMOON;150 IE;Poeder en oplosmiddel voor oplossing voor injectie;FOLLIKEL-STIMULEREND HORMOON/HUMAAN CHORIONGONADOTROFINE/HUMAAN MENOPAUZAAL GONADOTROFINE/LUTEÏNISEREND HORMOON - 150 IE - Poeder en oplosmiddel voor oplossing voor injectie;173
Beriplex P/N 1000 IE, poeder en oplosmiddel voor oplossing voor injectie;FACTOR II, HUMAAN/FACTOR IX, HUMAAN/FACTOR VII, HUMAAN/FACTOR X, HUMAAN/PROTEÏNE C, HUMAAN/PROTEÏNE S, HUMAAN;1000 IE;Poeder en oplosmiddel voor oplossing voor injectie;FACTOR II, HUMAAN/FACTOR IX, HUMAAN/FACTOR VII, HUMAAN/FACTOR X, HUMAAN/PROTEÏNE C, HUMAAN/PROTEÏNE S, HUMAAN - 1000 IE - Poeder en oplosmiddel voor oplossing voor injectie;172
Meriofert spuit 75 IE, poeder en oplosmiddel voor oplossing voor injectie;FOLLIKEL-STIMULEREND HORMOON/HUMAAN CHORIONGONADOTROFINE/HUMAAN MENOPAUZAAL GONADOTROFINE/LUTEÏNISEREND HORMOON;75 IE;Poeder en oplosmiddel voor oplossing voor injectie;FOLLIKEL-STIMULEREND HORMOON/HUMAAN CHORIONGONADOTROFINE/HUMAAN MENOPAUZAAL GONADOTROFINE/LUTEÏNISEREND HORMOON - 75 IE - Poeder en oplosmiddel voor oplossing voor injectie;172
Meriofert 75 IE, poeder en oplosmiddel voor oplossing voor injectie;FOLLIKEL-STIMULEREND HORMOON/HUMAAN CHORIONGONADOTROFINE/HUMAAN MENOPAUZAAL GONADOTROFINE/LUTEÏNISEREND HORMOON;75 IE;Poeder en oplosmiddel voor oplossing voor injectie;FOLLIKEL-STIMULEREND HORMOON/HUMAAN CHORIONGONADOTROFINE/HUMAAN MENOPAUZAAL GONADOTROFINE/LUTEÏNISEREND HORMOON - 75 IE - Poeder en oplosmiddel voor oplossing voor injectie;172
Beriplex P/N 500 IE, poeder en oplosmiddel voor oplossing voor injectie;FACTOR II, HUMAAN/FACTOR IX, HUMAAN/FACTOR VII, HUMAAN/FACTOR X, HUMAAN/PROTEÏNE C, HUMAAN/PROTEÏNE S, HUMAAN;500 IE;Poeder en oplosmiddel voor oplossing voor injectie;FACTOR II, HUMAAN/FACTOR IX, HUMAAN/FACTOR VII, HUMAAN/FACTOR X, HUMAAN/PROTEÏNE C, HUMAAN/PROTEÏNE S, HUMAAN - 500 IE - Poeder en oplosmiddel voor oplossing voor injectie;171
Octaplex 1000 IE, poeder en oplosmiddel voor oplossing voor infusie;FACTOR II, HUMAAN/FACTOR IX, HUMAAN/FACTOR VII, HUMAAN/FACTOR X, HUMAAN/PROTEÏNE C, HUMAAN/PROTEÏNE S, HUMAAN;1000 IE;Poeder en oplosmiddel voor oplossing voor infusie;FACTOR II, HUMAAN/FACTOR IX, HUMAAN/FACTOR VII, HUMAAN/FACTOR X, HUMAAN/PROTEÏNE C, HUMAAN/PROTEÏNE S, HUMAAN - 1000 IE - Poeder en oplosmiddel voor oplossing voor infusie;171
Beriplex P/N 250 IE, poeder en oplosmiddel voor oplossing voor injectie;FACTOR II, HUMAAN/FACTOR IX, HUMAAN/FACTOR VII, HUMAAN/FACTOR X, HUMAAN/PROTEÏNE C, HUMAAN/PROTEÏNE S, HUMAAN;250 IE;Poeder en oplosmiddel voor oplossing voor injectie;FACTOR II, HUMAAN/FACTOR IX, HUMAAN/FACTOR VII, HUMAAN/FACTOR X, HUMAAN/PROTEÏNE C, HUMAAN/PROTEÏNE S, HUMAAN - 250 IE - Poeder en oplosmiddel voor oplossing voor injectie;171
Octaplex 500 IE, poeder en oplosmiddel voor oplossing voor infusie;FACTOR II, HUMAAN/FACTOR IX, HUMAAN/FACTOR VII, HUMAAN/FACTOR X, HUMAAN/PROTEÏNE C, HUMAAN/PROTEÏNE S, HUMAAN;500 IE;Poeder en oplosmiddel voor oplossing voor infusie;FACTOR II, HUMAAN/FACTOR IX, HUMAAN/FACTOR VII, HUMAAN/FACTOR X, HUMAAN/PROTEÏNE C, HUMAAN/PROTEÏNE S, HUMAAN - 500 IE - Poeder en oplosmiddel voor oplossing voor infusie;170
Veregen 10%, zalf;CAMELLIA SINENSIS FOLIUM WATERIG DROOG EXTRACT (24-56 = 1), GEËXTRAHEERD MET ETHYL EN GEZUIVERD, BEVATTEND EEN MENGSEL VAN 85-95 pCt THEE CATECHINEN;10%;Zalf;CAMELLIA SINENSIS FOLIUM WATERIG DROOG EXTRACT (24-56 = 1), GEËXTRAHEERD MET ETHYL EN GEZUIVERD, BEVATTEND EEN MENGSEL VAN 85-95 pCt THEE CATECHINEN - 10% - Zalf;161
Alutard SQ 3-Boompollen 100.000 SQ-E/ml, suspensie voor injectie;WATERIG EXTRACT VAN EEN MENGSEL VAN BETULA VERRUCOSA POLLEN, ALNUS GLUTINOSA POLLEN, CORYLUS AVELLANA POLLEN;100,000 SQ-eenheden/ml;Suspensie voor injectie;WATERIG EXTRACT VAN EEN MENGSEL VAN BETULA VERRUCOSA POLLEN, ALNUS GLUTINOSA POLLEN, CORYLUS AVELLANA POLLEN - 100,000 SQ-eenheden/ml - Suspensie voor injectie;159
Spirolept 200 miljoen E/ml, suspensie voor injectie in een voorgevulde spuit;GEÏNACTIVEERD LEPTOSPIRA INTERROGANS SEROGROUP ICTEROHAEMORRHAGIAE SEROVAR ICTEROHAEMORRHAGIAE Stam Verdun;200 miljoen eenheden/ml;Suspensie voor injectie;GEÏNACTIVEERD LEPTOSPIRA INTERROGANS SEROGROUP ICTEROHAEMORRHAGIAE SEROVAR ICTEROHAEMORRHAGIAE Stam Verdun - 200 miljoen eenheden/ml - Suspensie voor injectie;158
Act-Hib, 10 microgram/0,5 ml poeder en oplosmiddel voor oplossing voor injectie;HAEMOPHILUS INFLUENZAE TYPE B POLYSACCHARIDE GECONJUGEERD AAN TETANUS TOXOÏD (PRP-T);10 mcg/0,5 ml;Poeder en oplosmiddel voor oplossing voor injectie;HAEMOPHILUS INFLUENZAE TYPE B POLYSACCHARIDE GECONJUGEERD AAN TETANUS TOXOÏD (PRP-T) - 10 mcg/0,5 ml - Poeder en oplosmiddel voor oplossing voor injectie;153
Prothromplex 500 IE, poeder en oplosmiddel voor oplossing voor injectie;FACTOR II, HUMAAN/FACTOR IX, HUMAAN/FACTOR VII, HUMAAN/FACTOR X, HUMAAN/PROTEÏNE C, HUMAAN;500 IE;Poeder en oplosmiddel voor oplossing voor injectie;FACTOR II, HUMAAN/FACTOR IX, HUMAAN/FACTOR VII, HUMAAN/FACTOR X, HUMAAN/PROTEÏNE C, HUMAAN - 500 IE - Poeder en oplosmiddel voor oplossing voor injectie;152
Prothromplex 600 IE, poeder en oplosmiddel voor oplossing voor injectie;FACTOR II, HUMAAN/FACTOR IX, HUMAAN/FACTOR VII, HUMAAN/FACTOR X, HUMAAN/PROTEÏNE C, HUMAAN;600 IE;Poeder en oplosmiddel voor oplossing voor injectie;FACTOR II, HUMAAN/FACTOR IX, HUMAAN/FACTOR VII, HUMAAN/FACTOR X, HUMAAN/PROTEÏNE C, HUMAAN - 600 IE - Poeder en oplosmiddel voor oplossing voor injectie;152
Kovaltry 1000 IE, poeder en oplosmiddel voor oplossing voor injectie;FACTOR VIII, rDNA HUMAAN COAGULATIEFACTOR VIII, SUCROSE GEFORMULEERD (rFVIII-FS)(Bayer);1000 IE;Poeder en oplosmiddel voor oplossing voor injectie;FACTOR VIII, rDNA HUMAAN COAGULATIEFACTOR VIII, SUCROSE GEFORMULEERD (rFVIII-FS)(Bayer) - 1000 IE - Poeder en oplosmiddel voor oplossing voor injectie;150
Kovaltry 3000 IE, poeder en oplosmiddel voor oplossing voor injectie;FACTOR VIII, rDNA HUMAAN COAGULATIEFACTOR VIII, SUCROSE GEFORMULEERD (rFVIII-FS)(Bayer);3000 IE;Poeder en oplosmiddel voor oplossing voor injectie;FACTOR VIII, rDNA HUMAAN COAGULATIEFACTOR VIII, SUCROSE GEFORMULEERD (rFVIII-FS)(Bayer) - 3000 IE - Poeder en oplosmiddel voor oplossing voor injectie;150
KOGENATE Bayer 1000 IE poeder en oplosmiddel voor oplossing voor injectie;FACTOR VIII, rDNA HUMAAN COAGULATIEFACTOR VIII, SUCROSE GEFORMULEERD (rFVIII-FS)(Bayer);1000 IE;Poeder en oplosmiddel voor oplossing voor injectie;FACTOR VIII, rDNA HUMAAN COAGULATIEFACTOR VIII, SUCROSE GEFORMULEERD (rFVIII-FS)(Bayer) - 1000 IE - Poeder en oplosmiddel voor oplossing voor injectie;150
Kovaltry 2000 IE, poeder en oplosmiddel voor oplossing voor injectie;FACTOR VIII, rDNA HUMAAN COAGULATIEFACTOR VIII, SUCROSE GEFORMULEERD (rFVIII-FS)(Bayer);2000 IE;Poeder en oplosmiddel voor oplossing voor injectie;FACTOR VIII, rDNA HUMAAN COAGULATIEFACTOR VIII, SUCROSE GEFORMULEERD (rFVIII-FS)(Bayer) - 2000 IE - Poeder en oplosmiddel voor oplossing voor injectie;150
KOGENATE Bayer 500 IE poeder en oplosmiddel voor oplossing voor injectie;FACTOR VIII, rDNA HUMAAN COAGULATIEFACTOR VIII, SUCROSE GEFORMULEERD (rFVIII-FS)(Bayer);500 IE;Poeder en oplosmiddel voor oplossing voor injectie;FACTOR VIII, rDNA HUMAAN COAGULATIEFACTOR VIII, SUCROSE GEFORMULEERD (rFVIII-FS)(Bayer) - 500 IE - Poeder en oplosmiddel voor oplossing voor injectie;149
Kovaltry 500 IE, poeder en oplosmiddel voor oplossing voor injectie;FACTOR VIII, rDNA HUMAAN COAGULATIEFACTOR VIII, SUCROSE GEFORMULEERD (rFVIII-FS)(Bayer);500 IE;Poeder en oplosmiddel voor oplossing voor injectie;FACTOR VIII, rDNA HUMAAN COAGULATIEFACTOR VIII, SUCROSE GEFORMULEERD (rFVIII-FS)(Bayer) - 500 IE - Poeder en oplosmiddel voor oplossing voor injectie;149
Kigenate Bayer 2000 IU;FACTOR VIII, rDNA HUMAAN COAGULATIEFACTOR VIII, SUCROSE GEFORMULEERD (rFVIII-FS)(Bayer);2000 IE;Poeder en oplosmiddel voor oplossing voor infusie;FACTOR VIII, rDNA HUMAAN COAGULATIEFACTOR VIII, SUCROSE GEFORMULEERD (rFVIII-FS)(Bayer) - 2000 IE - Poeder en oplosmiddel voor oplossing voor infusie;149
Kogenate Bayer 250 IE, poeder en oplosmiddel voor oplossing voor injectie;FACTOR VIII, rDNA HUMAAN COAGULATIEFACTOR VIII, SUCROSE GEFORMULEERD (rFVIII-FS)(Bayer);250 IE;Poeder en oplosmiddel voor oplossing voor injectie;FACTOR VIII, rDNA HUMAAN COAGULATIEFACTOR VIII, SUCROSE GEFORMULEERD (rFVIII-FS)(Bayer) - 250 IE - Poeder en oplosmiddel voor oplossing voor injectie;149
Kovaltry 250 IE, poeder en oplosmiddel voor oplossing voor injectie;FACTOR VIII, rDNA HUMAAN COAGULATIEFACTOR VIII, SUCROSE GEFORMULEERD (rFVIII-FS)(Bayer);250 IE;Poeder en oplosmiddel voor oplossing voor injectie;FACTOR VIII, rDNA HUMAAN COAGULATIEFACTOR VIII, SUCROSE GEFORMULEERD (rFVIII-FS)(Bayer) - 250 IE - Poeder en oplosmiddel voor oplossing voor injectie;149
Alutard SQ 2-Huisstofmijten 100.000 SQ-E/ml, suspensie voor injectie;WATERIG EXTRACT VAN EEN MENGSEL VAN DERMATOPHAGOIDES PTERONYSSINUS EN DERMATOPHAGOIDES FARINAE;100,000 SQ-eenheden/ml;Suspensie voor injectie;WATERIG EXTRACT VAN EEN MENGSEL VAN DERMATOPHAGOIDES PTERONYSSINUS EN DERMATOPHAGOIDES FARINAE - 100,000 SQ-eenheden/ml - Suspensie voor injectie;145
Alutard SQ 2-Huisstofmijten 100-100.000 SQ-E/ml, suspensie voor injectie;WATERIG EXTRACT VAN EEN MENGSEL VAN DERMATOPHAGOIDES PTERONYSSINUS EN DERMATOPHAGOIDES FARINAE;100,000 SQ-eenheden/ml;Suspensie voor injectie;WATERIG EXTRACT VAN EEN MENGSEL VAN DERMATOPHAGOIDES PTERONYSSINUS EN DERMATOPHAGOIDES FARINAE - 100,000 SQ-eenheden/ml - Suspensie voor injectie;145
Menopur 150 IE, poeder en oplosmiddel voor oplossing voor injectie;FOLLIKEL-STIMULEREND HORMOON/HUMAAN MENOPAUZAAL GONADOTROFINE/LUTEÏNISEREND HORMOON;150 IE;Poeder en oplosmiddel voor oplossing voor injectie;FOLLIKEL-STIMULEREND HORMOON/HUMAAN MENOPAUZAAL GONADOTROFINE/LUTEÏNISEREND HORMOON - 150 IE - Poeder en oplosmiddel voor oplossing voor injectie;145
Menopur 75 IE, poeder en oplosmiddel voor oplossing voor injectie;FOLLIKEL-STIMULEREND HORMOON/HUMAAN MENOPAUZAAL GONADOTROFINE/LUTEÏNISEREND HORMOON;75 IE;Poeder en oplosmiddel voor oplossing voor injectie;FOLLIKEL-STIMULEREND HORMOON/HUMAAN MENOPAUZAAL GONADOTROFINE/LUTEÏNISEREND HORMOON - 75 IE - Poeder en oplosmiddel voor oplossing voor injectie;144
FEIBA 50 E/ml, poeder en oplosmidel voor oplossing voor infusie;PLASMAPROTEÏNEN MET FACTOR VIII INHIBITOR  BYPASSACTIVITEIT (FEIBA NF);50 eenheden/ml;Poeder en oplosmiddel voor oplossing voor injectie;PLASMAPROTEÏNEN MET FACTOR VIII INHIBITOR  BYPASSACTIVITEIT (FEIBA NF) - 50 eenheden/ml - Poeder en oplosmiddel voor oplossing voor injectie;140
FEIBA 100 E/ml, poeder en oplosmiddel voor oplossing voor infusie;PLASMAPROTEÏNEN MET FACTOR VIII INHIBITOR  BYPASSACTIVITEIT (FEIBA NF);100 eenheden/ml;Poeder en oplosmiddel voor oplossing voor infusie;PLASMAPROTEÏNEN MET FACTOR VIII INHIBITOR  BYPASSACTIVITEIT (FEIBA NF) - 100 eenheden/ml - Poeder en oplosmiddel voor oplossing voor infusie;140
FEIBA 25 E/ml, poeder en oplosmidel voor oplossing voor infusie;PLASMAPROTEÏNEN MET FACTOR VIII INHIBITOR  BYPASSACTIVITEIT (FEIBA NF);25 eenheden/ml;Poeder en oplosmiddel voor oplossing voor infusie;PLASMAPROTEÏNEN MET FACTOR VIII INHIBITOR  BYPASSACTIVITEIT (FEIBA NF) - 25 eenheden/ml - Poeder en oplosmiddel voor oplossing voor infusie;139
FEIBA 25 E/ml, poeder en oplosmiddel voor oplossing voor infusie;PLASMAPROTEÏNEN MET FACTOR VIII INHIBITOR  BYPASSACTIVITEIT (FEIBA NF);25 eenheden/ml;Poeder en oplosmiddel voor oplossing voor infusie;PLASMAPROTEÏNEN MET FACTOR VIII INHIBITOR  BYPASSACTIVITEIT (FEIBA NF) - 25 eenheden/ml - Poeder en oplosmiddel voor oplossing voor infusie;139
FEIBA 50 E/ml, poeder en oplosmiddel voor oplossing voor infusie;PLASMAPROTEÏNEN MET FACTOR VIII INHIBITOR  BYPASSACTIVITEIT (FEIBA NF);50 eenheden/ml;Poeder en oplosmiddel voor oplossing voor infusie;PLASMAPROTEÏNEN MET FACTOR VIII INHIBITOR  BYPASSACTIVITEIT (FEIBA NF) - 50 eenheden/ml - Poeder en oplosmiddel voor oplossing voor infusie;139
Zutectra - Human Hepatitis B Immunoglobulin 500 IU/ml, oplossing voor injectie;ANTILICHAMEN TEGEN HEPATITUS B VIRUS OPPERVLAKTEANTIGEEN/HUMAAN HEPATITIS B IMMUNOGLOBULINE;500 IE/ml;Oplossing voor injectie;ANTILICHAMEN TEGEN HEPATITUS B VIRUS OPPERVLAKTEANTIGEEN/HUMAAN HEPATITIS B IMMUNOGLOBULINE - 500 IE/ml - Oplossing voor injectie;129
SMOFlipid 200 mg/ml, emulsie voor infusie;OLIJFOLIE/SOJAOLIE, GEZUIVERD/TRIGLYCERIDEN MIDDELLANGE KETEN/VISOLIE, RIJK AAN OMEGA-3-ZUREN;200 mg/ml;Emulsie voor infusie;OLIJFOLIE/SOJAOLIE, GEZUIVERD/TRIGLYCERIDEN MIDDELLANGE KETEN/VISOLIE, RIJK AAN OMEGA-3-ZUREN - 200 mg/ml - Emulsie voor infusie;128
Hepatect CP 50 IE/ml, oplossing voor infusie;ANTILICHAMEN TEGEN HEPATITUS B VIRUS OPPERVLAKTEANTIGEEN/HUMAAN HEPATITIS B IMMUNOGLOBULINE;50 IE/ml;Oplossing voor infusie;ANTILICHAMEN TEGEN HEPATITUS B VIRUS OPPERVLAKTEANTIGEEN/HUMAAN HEPATITIS B IMMUNOGLOBULINE - 50 IE/ml - Oplossing voor infusie;127
Bocouture 100 eenheden poeder voor oplossing voor injectie;CLOSTRIDIUM BOTULINE NEUROTOXINE TYPE A, Vrij van complexerende proteïnen;100 eenheden;Poeder voor oplossing voor injectie;CLOSTRIDIUM BOTULINE NEUROTOXINE TYPE A, Vrij van complexerende proteïnen - 100 eenheden - Poeder voor oplossing voor injectie;126
XEOMIN 200 eenheden, poeder voor oplossing voor injectie;CLOSTRIDIUM BOTULINE NEUROTOXINE TYPE A, Vrij van complexerende proteïnen;200 eenheden;Poeder voor oplossing voor injectie;CLOSTRIDIUM BOTULINE NEUROTOXINE TYPE A, Vrij van complexerende proteïnen - 200 eenheden - Poeder voor oplossing voor injectie;126
XEOMIN 100 eenheden, poeder voor oplossing voor injectie;CLOSTRIDIUM BOTULINE NEUROTOXINE TYPE A, Vrij van complexerende proteïnen;100 eenheden;Poeder voor oplossing voor injectie;CLOSTRIDIUM BOTULINE NEUROTOXINE TYPE A, Vrij van complexerende proteïnen - 100 eenheden - Poeder voor oplossing voor injectie;126
XEOMIN 50 eenheden, poeder voor oplossing voor injectie;CLOSTRIDIUM BOTULINE NEUROTOXINE TYPE A, Vrij van complexerende proteïnen;50 eenheden;Poeder voor oplossing voor injectie;CLOSTRIDIUM BOTULINE NEUROTOXINE TYPE A, Vrij van complexerende proteïnen - 50 eenheden - Poeder voor oplossing voor injectie;125
BOCOUTURE 50 eenheden, poeder voor oplossing voor injectie;CLOSTRIDIUM BOTULINE NEUROTOXINE TYPE A, Vrij van complexerende proteïnen;50 eenheden;Poeder voor oplossing voor injectie;CLOSTRIDIUM BOTULINE NEUROTOXINE TYPE A, Vrij van complexerende proteïnen - 50 eenheden - Poeder voor oplossing voor injectie;125
