PRESCRIBING_PRODUCT;PRODUCTNAAM;STERKTE;WERKZAMESTOFFEN_CLEAN;FARMACEUTISCHEVORM;AFLEVERSTATUS
FLUTICASON - 500 microgram/dosis - Inhalatiepoeder;Flixotide Diskus 500 microgram/dosis-inhalatiepoeder, voorverdeeld;500 microgram/dosis;FLUTICASON;Inhalatiepoeder, voorverdeeld;Uitsluitend recept
VANCOMYCINE - 250 mg - Capsule;Vancomycine Eureco-Pharma 250 mg harde capsules;250 mg;VANCOMYCINE;Capsule, hard;Uitsluitend recept
URSODEOXYCHOLZUUR - 500 mg - Filmomhulde tablet;Ursofalk 500 mg filmomhulde tabletten;500 mg;URSODEOXYCHOLZUUR;Filmomhulde tablet;Uitsluitend recept
CETIRIZINE - 10 mg - Filmomhulde tablet;Kruidvat Cetirizine diHCl 10 mg Allergietabletten, filmomhulde tabletten;10 mg;CETIRIZINE;Filmomhulde tablet;Uitsluitend apotheek of drogist$SEMICOLON$ Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 1 februari 2024]
LEUPRORELINE - 3,75 mg - Poeder en oplosmiddel voor suspensie voor injectie;Lucrin PDS Depot 3,75 mg, poeder en oplosmiddel voor suspensie voor injectie;3,75 mg;LEUPRORELINE;Poeder en oplosmiddel voor suspensie voor injectie;Uitsluitend recept
BECLOMETASON /FORMOTEROL - 200/6 microgram/dosis - Inhalatiepoeder;Foster NEXThaler 200/6 microgram/dosis, inhalatiepoeder;200/6 microgram/dosis;BECLOMETASON /FORMOTEROL;Inhalatiepoeder;Uitsluitend recept
DEXAMFETAMINE/LISDEXAMFETAMINE - 50 mg - Capsule;Elvanse 50 mg, harde capsules;50 mg;DEXAMFETAMINE/LISDEXAMFETAMINE;Capsule, hard;Uitsluitend recept
GLUCAGON - 1 mg - Poeder en oplosmiddel voor oplossing voor injectie;GlucaGen Hypokit 1 mg Poeder en oplosmiddel voor oplossing voor injectie;1 mg;GLUCAGON;Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
PANTOPRAZOL - 20 mg - Maagsapresistente tablet;Etos Maagzuurremmende tabletten Pantoprazol 20 mg, maagsapresistente tabletten;20 mg;PANTOPRAZOL;Maagsapresistente tablet;Uitsluitend apotheek of drogist
FELYPRESSINE/PRILOCAÏNE - 3% - Oplossing voor injectie;Citanest 3% - Octapressine DENTAL, injectievloeistof voor perineurale toediening 30 mg/ml + 0,54 mcg/ml;3%;FELYPRESSINE/PRILOCAÏNE;Oplossing voor injectie;Uitsluitend recept
FUROSEMIDE - 500 mg - Tablet;Lasix 500 mg, tabletten;500 mg;FUROSEMIDE;Tablet;Uitsluitend recept
DYDROGESTERON/ESTRADIOL/ESTRADIOL -  - Filmomhulde tablet;Femoston 2/10, tabletten;;DYDROGESTERON/ESTRADIOL/ESTRADIOL;Filmomhulde tablet;Uitsluitend recept
SOLIFENACINE/TAMSULOSINE - 6 mg/0,4 mg - Tablet met gereguleerde afgifte;Vesomni 6 mg/0,4 mg, tabletten met gereguleerde afgifte;6 mg/0,4 mg;SOLIFENACINE/TAMSULOSINE;Tablet met gereguleerde afgifte;Uitsluitend recept
AMYLASE/LIPASE/PANCREATINE/PROTEASE - 35.000 eenheden - Maagsapresistente capsule;Creon 35.000, harde maagsapresistente capsules 35.000 eenheden;35.000 eenheden;AMYLASE/LIPASE/PANCREATINE/PROTEASE;Maagsapresistente capsule, hard;Uitsluitend recept
HYDROXYCARBAMIDE - 500 mg - Capsule;Hydroxyurea ERC 500 mg, harde capsules;500 mg;HYDROXYCARBAMIDE;Capsule, hard;Uitsluitend recept
AZELASTINE/FLUTICASON - 137 microgram/50 microgram - Neusspray;Dymista Neusspray 137 microgram/50 microgram, neusspray, suspensie;137 microgram/50 microgram;AZELASTINE/FLUTICASON;Neusspray, suspensie;Uitsluitend recept
FOLIUMZUUR - 0,5 mg - Tablet;Foliumzuur Sanias 0,5 mg, tabletten;0,5 mg;FOLIUMZUUR;Tablet;Uitsluitend apotheek of drogist
LAURILSULFO/SORBITOL (D-)(E 420)/TRI  (E 331) -  - Oplossing voor rectaal gebruik;Microlax, oplossing voor rectaal gebruik;;LAURILSULFO/SORBITOL (D-)(E 420)/TRI  (E 331);Oplossing voor rectaal gebruik;Uitsluitend apotheek of drogist
LAURILSULFO/TRI  (E 331) -  - Oplossing voor rectaal gebruik;Microlax, klysma;;LAURILSULFO/TRI  (E 331);Oplossing voor rectaal gebruik;Uitsluitend apotheek of drogist
DYDROGESTERON/ESTRADIOL - 1 mg - Filmomhulde tablet;Femoston continu 1/5, filmomhulde tabletten 1 mg, 5 mg;1 mg;DYDROGESTERON/ESTRADIOL;Filmomhulde tablet;Uitsluitend recept
MICONAZOL - 20 mg/ml - Nagellak;Daktarin nagellak 20 mg/ml, nagellak;20 mg/ml;MICONAZOL;Nagellak;Uitsluitend apotheek of drogist
BUPRENORFINE - 35 µg/uur - Pleister voor transdermaal gebruik;Transtec 35 µg/uur 4 dagen, pleister voor transdermaal gebruik;35 µg/uur;BUPRENORFINE;Pleister voor transdermaal gebruik;Uitsluitend recept
AMISULPRIDE - 100 mg - Tablet;Amisulpride Eureco-Pharma 100 mg tableteen;100 mg;AMISULPRIDE;Tablet;Uitsluitend recept
AMISULPRIDE - 100 mg - Tablet;Amisulpride Medcor 100 mg, tabletten;100 mg;AMISULPRIDE;Tablet;Uitsluitend recept
OCTREOTIDE - 0,1 mg/ml - Oplossing voor injectie;Octreotide Medcor 0,1 mg/ml oplossing voor injectie in een voorgevulde spuit;0,1 mg/ml;OCTREOTIDE;Oplossing voor injectie;Uitsluitend recept
FLUORIDE -  - Tandpasta;Duraphat 5000 ppm tandpasta;;FLUORIDE;Tandpasta;Uitsluitend recept
LATANOPROST/TIMOLOL - 50 microgram/ml - Oogdruppels;Xalacom 50 microgram/ml + 5 mg/ml oogdruppels, oplossing;50 microgram/ml;LATANOPROST/TIMOLOL;Oogdruppels, oplossing;Uitsluitend recept
FENTANYL - 600 microgram - Zuigtablet;Actiq 600 microgram zuigtabletten met integrale applicator voor oromucosaal gebruik;600 microgram;FENTANYL;Zuigtablet;Uitsluitend recept
IBUPROFEN - 400 mg - Filmomhulde tablet;DA Ibuprofen 400 mg, omhulde tablet;400 mg;IBUPROFEN;Filmomhulde tablet;Uitsluitend apotheek$SEMICOLON$ Uitsluitend apotheek of drogist - UA meer dan 24 eenheden - UAD maximaal 24 eenheden
FENTANYL - 400 microgram - Zuigtablet;Actiq 400 microgram zuigtabletten met integrale applicator voor oromucosaal gebruik;400 microgram;FENTANYL;Zuigtablet;Uitsluitend recept
ZUCLOPENTIXOL - 10 mg - Filmomhulde tablet;Cisordinol 10 mg, filmomhulde tabletten;10 mg;ZUCLOPENTIXOL;Filmomhulde tablet;Uitsluitend recept
HYALURONIDASE -  - Poeder en oplosmiddel voor oplossing voor injectie;Hyaluronidase Eureco-Pharma 150 I.E., poeder voor injectievloeistof;;HYALURONIDASE;Poeder en oplosmiddel voor oplossing voor injectie;Uitsluitend recept
THIAMINE - 100 mg/ml - Oplossing voor injectie;Thiamine HCl Eureco-Pharma 100 mg/ml, oplossing voor injectie;100 mg/ml;THIAMINE;Oplossing voor injectie;Uitsluitend recept
PIMOZIDE - 1 mg - Tablet;Orap 1, tabletten 1 mg;1 mg;PIMOZIDE;Tablet;Uitsluitend recept
CABERGOLINE - 0,5 mg - Tablet;Dostinex, tabletten 0,5 mg;0,5 mg;CABERGOLINE;Tablet;Uitsluitend recept
ESTRADIOL - 1 mg - Omhulde tablet;Progynova 1 mg, omhulde tabletten;1 mg;ESTRADIOL;Omhulde tablet;Uitsluitend recept
BECLOMETASON /FORMOTEROL - 100/6 microgram/dosis - Inhalatiepoeder;Foster NEXThaler 100/6 microgram/dosis, inhalatiepoeder;100/6 microgram/dosis;BECLOMETASON /FORMOTEROL;Inhalatiepoeder;Uitsluitend recept
BISACODYL - 5 mg - Maagsapresistente tablet;DA Laxeertabletten Bisacodyl 5 mg, maagsapresistente tabletten;5 mg;BISACODYL;Maagsapresistente tablet;Uitsluitend apotheek of drogist
LORATADINE - 10 mg - Tablet;Loratadine SAM Hooikoortstabletten 10 mg, tabletten;10 mg;LORATADINE;Tablet;Uitsluitend apotheek of drogist$SEMICOLON$ Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 6 september 2007]
IMMUNOGLOBULINE, HUMAAN, TETANUS - 250 IE - Oplossing voor injectie;Tetagam P 250 IE, oplossing voor injectie in een voorgevulde spuit;250 IE;IMMUNOGLOBULINE, HUMAAN, TETANUS;Oplossing voor injectie;Uitsluitend recept
IMMUNOGLOBULINE, HUMAAN, TETANUS - 250 IE/ml - Oplossing voor injectie;Tetagam P 250 IE/ml, oplossing voor injectie in een voorgevulde spuit;250 IE/ml;IMMUNOGLOBULINE, HUMAAN, TETANUS;Oplossing voor injectie;Uitsluitend recept
BETAMETHASON - 0,5 mg/g - Zalf;Diprosone zalf 0,5 mg/g;0,5 mg/g;BETAMETHASON;Zalf;Uitsluitend recept
BETAMETHASON - 0,05% - Oplossing voor cutaan gebruik;Diprosone 0,05% lotion, lotion 0,5 mg/g;0,05%;BETAMETHASON;Oplossing voor cutaan gebruik;Uitsluitend recept
CLOBETASOL - 500 microgram/g - Shampoo;Clobex 500 microgram/g, shampoo;500 microgram/g;CLOBETASOL;Shampoo;Uitsluitend recept
LEVONORGESTREL - 20 microgram/24 uur - Afleveringsysteem voor intra-uterien gebruik;Mirena, IUD 20 microgram/24 uur;20 microgram/24 uur;LEVONORGESTREL;Afleveringsysteem voor intra-uterien gebruik;Uitsluitend recept
FLUTICASON/SALMETEROL - 50/100 microgram/dosis - Inhalatiepoeder;Seretide Diskus 50/100 microgram/dosis, inhalatiepoeder, voorverdeeld;50/100 microgram/dosis;FLUTICASON/SALMETEROL;Inhalatiepoeder, voorverdeeld;Uitsluitend recept
AMYLASE/LIPASE/PANCREATINE/PROTEASE - 5.000 eenheden - Maagsapresistent granulaat;Creon granulaat 5.000, maagsapresistent granulaat 5.000 eenheden;5.000 eenheden;AMYLASE/LIPASE/PANCREATINE/PROTEASE;Maagsapresistent granulaat;Uitsluitend recept
INSULINE HUMAAN - 100 IE/ml - Suspensie voor injectie;Humuline NPH KwikPen, suspensie voor injectie 100 IE/ml, 3 ml;100 IE/ml;INSULINE HUMAAN;Suspensie voor injectie;Uitsluitend recept
FLUCONAZOL - 40 mg/ml - Poeder voor orale suspensie;Diflucan 40 mg/ml, poeder voor orale suspensie;40 mg/ml;FLUCONAZOL;Poeder voor orale suspensie;Uitsluitend recept
LIDOCAÏNE - 50 mg/g - Zalf;Xylocaine 50 mg/g Zalf, hydrofiele zalf;50 mg/g;LIDOCAÏNE;Zalf;Uitsluitend apotheek of drogist
AMANTADINE - 100 mg - Capsule;Symmetrel 100 mg capsules;100 mg;AMANTADINE;Capsule, zacht;Uitsluitend recept
ERYTROMYCINE - 1 g - Poeder voor oplossing voor infusie;Erytromycine Eureco-Pharma i.v. 1 g poeder voor oplossing voor infusie;1 g;ERYTROMYCINE;Poeder voor oplossing voor infusie;Uitsluitend recept
WATERIG EXTRACT VAN EEN MENGSEL VAN DERMATOPHAGOIDES PTERONYSSINUS EN DERMATOPHAGOIDES FARINAE - 100.000 SQ-E/ml - Suspensie voor injectie;Alutard SQ 2-Huisstofmijten 100.000 SQ-E/ml, suspensie voor injectie;100.000 SQ-E/ml;WATERIG EXTRACT VAN EEN MENGSEL VAN DERMATOPHAGOIDES PTERONYSSINUS EN DERMATOPHAGOIDES FARINAE;Suspensie voor injectie;Uitsluitend recept
SIMVASTATINE - 10 mg - Filmomhulde tablet;Zocor 10 mg filmomhulde tabletten;10 mg;SIMVASTATINE;Filmomhulde tablet;Uitsluitend recept
AMLODIPINE/INDAPAMIDE /PERINDOPRIL - 10 mg/2,5 mg/10 mg - Filmomhulde tablet;Triplixam 10 mg/2,5 mg/10 mg, filmomhulde tabletten;10 mg/2,5 mg/10 mg;AMLODIPINE/INDAPAMIDE /PERINDOPRIL;Filmomhulde tablet;Uitsluitend recept
MOMETASONFUROAAT - 0,1% - Zalf;Mometasonfuroaat ERC VET wateremulgerende zalf 0,1%;0,1%;MOMETASONFUROAAT;Zalf;Uitsluitend recept
MACROGOL 4000 - 10 g - Poeder voor drank;Forlax 10 g, poeder voor drank in sachet 10 g;10 g;MACROGOL 4000;Poeder voor drank;Uitsluitend apotheek of drogist
CITALOPRAM - 40 mg/ml - Druppels voor oraal gebruik;Cipramil 40 mg/ml druppels voor oraal gebruik, oplossing;40 mg/ml;CITALOPRAM;Druppels voor oraal gebruik, oplossing;Uitsluitend recept
HYOSCINEBUTYL - 20 mg/ml - Oplossing voor injectie;Buscopan, injectievloeistof 20 mg/ml;20 mg/ml;HYOSCINEBUTYL;Oplossing voor injectie;Uitsluitend recept
CLOBETASOL - 0,5 mg/g - Vloeistof voor cutaan gebruik;Dermovate vloeistof voor cutaan gebruik 0,5 mg/g;0,5 mg/g;CLOBETASOL;Vloeistof voor cutaan gebruik;Uitsluitend recept
TRIPTORELINEPAMOAAT - 11,25 mg - Poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte;Triptoreline 11,25 mg Medcor, poeder en oplosmiddel voor suspensie voor injectie, met verlengde afgifte;11,25 mg;TRIPTORELINEPAMOAAT;Poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte;Uitsluitend recept
TRIPTORELINEPAMOAAT - 11,25 mg - Poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte;Pamorelin 11,25 mg, poeder en oplosmiddel voor suspensie voor injectie, met verlengde afgifte;11,25 mg;TRIPTORELINEPAMOAAT;Poeder en oplosmiddel voor suspensie voor injectie met verlengde afgifte;Uitsluitend recept
LEUPRORELINE - 30 mg - Poeder en oplosmiddel voor suspensie voor injectie;Lucrin PDS Depot 6 maanden 30 mg, poeder en oplosmiddel voor suspensie voor injectie;30 mg;LEUPRORELINE;Poeder en oplosmiddel voor suspensie voor injectie;Uitsluitend recept
BROOMHEXINE - 8 mg/5 ml - Drank;Hoestdrank HTP Broomhexine HCl 8 mg/5 ml, drank;8 mg/5 ml;BROOMHEXINE;Drank;Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 30 mei 2018]
BROOMHEXINE - 8 mg/5 ml - Drank;Leidapharm Hoestdrank Broomhexine HCl 8 mg/5 ml, suikervrij, drank;8 mg/5 ml;BROOMHEXINE;Drank;Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 24 september 2020]
GOSERELINE - 10,8 mg - Implantatietablet;Zoladex 10,8 mg, implantatiestaafje;10,8 mg;GOSERELINE;Implantatietablet;Uitsluitend recept
GOSERELINE - 10,8 mg - Implantatietablet;Zoladex 10,8, implantatiestaafje 10,8 mg;10,8 mg;GOSERELINE;Implantatietablet;Uitsluitend recept
MYCOFENOLAAT - 360 mg - Maagsapresistente tablet;Myfortic 360 mg, maagsapresistente tablet;360 mg;MYCOFENOLAAT;Maagsapresistente tablet;Uitsluitend recept
LEVOCETIRIZINE - 5 mg - Filmomhulde tablet;Levocetirizine diHCl 5 mg Focus Care, filmomhulde tabletten;5 mg;LEVOCETIRIZINE;Filmomhulde tablet;Uitsluitend recept
BENSERAZIDE/LEVODOPA - 250 mg - Tablet;Madopar 250 mg, tabletten;250 mg;BENSERAZIDE/LEVODOPA;Tablet;Uitsluitend recept
BENSERAZIDE/LEVODOPA - 200/50 mg - Tablet;Levodopa/Benserazide Eureco-Pharma 200/50 mg, tabletten;200/50 mg;BENSERAZIDE/LEVODOPA;Tablet;Uitsluitend recept
NADROPARINE - 19.000 IE/ 1 ml - Oplossing voor injectie;Fraxiparine Forte 19.000 IE/ 1 ml oplossing voor injectie;19.000 IE/ 1 ml;NADROPARINE;Oplossing voor injectie;Uitsluitend recept
AMIODARON - 200 mg - Tablet;Amiodaron HCl Mylan 200 mg, tabletten;200 mg;AMIODARON;Tablet;Uitsluitend recept
ROSUVASTATINE - 5 mg - Filmomhulde tablet;Crestor 5, filmomhulde tabletten 5 mg;5 mg;ROSUVASTATINE;Filmomhulde tablet;Uitsluitend recept
CLOTRIMAZOL - 500 mg - Tablet voor vaginaal gebruik;Canesten 1 vaginaaltablet 500 mg, vaginaaltabletten;500 mg;CLOTRIMAZOL;Tablet voor vaginaal gebruik;Uitsluitend apotheek of drogist
CROMOGLICAAT - 20 mg/ml - Neusspray;Etos Allergieneusspray natriumcromoglicaat 20 mg/ml, neusspray, oplossing;20 mg/ml;CROMOGLICAAT;Neusspray, oplossing;Algemene verkoop [conform voorwaarden CBG AV-lijst d.d. 22 september 2016]
TETRABENAZINE - 25 mg - Tablet;Tetmodis 25 mg, tabletten;25 mg;TETRABENAZINE;Tablet;Uitsluitend recept
PERINDOPRIL - 5 mg - Filmomhulde tablet;Coversyl arg 5 mg filmomhulde tabletten;5 mg;PERINDOPRIL;Filmomhulde tablet;Uitsluitend recept
PERINDOPRIL - 5 mg - Filmomhulde tablet;Coversyl arg 5 mg, filmomhulde tabletten;5 mg;PERINDOPRIL;Filmomhulde tablet;Uitsluitend recept
DIGOXINE - 0,5 mg/2 ml - Oplossing voor injectie;Digoxine Eureco-Pharma, oplossing voor injectie 0,5 mg/2 ml;0,5 mg/2 ml;DIGOXINE;Oplossing voor injectie;Uitsluitend recept
SUMATRIPTANHEMI - 10 mg/dosis - Neusspray;Imigran 10 Neusspray, neusspray 10 mg/dosis;10 mg/dosis;SUMATRIPTANHEMI;Neusspray, oplossing;Uitsluitend recept
FENTANYL - 100 microgram - Tablet voor sublinguaal gebruik;Abstral 100 microgram, tabletten voor sublinguaal gebruik;100 microgram;FENTANYL;Tablet voor sublinguaal gebruik;Uitsluitend recept
MESALAZINE - 4 g/60 g - Oplossing voor rectaal gebruik;Salofalk 4 g/60 g, klysma;4 g/60 g;MESALAZINE;Oplossing voor rectaal gebruik;Uitsluitend recept
KETOCONAZOL - 20 mg/g - Shampoo;Ketoconazol ERC 20 mg/g, shampoo;20 mg/g;KETOCONAZOL;Shampoo;Uitsluitend recept
ADAPALEEN - 1 mg/g - Gel;Differin Gel 1 mg/g, gel;1 mg/g;ADAPALEEN;Gel;Uitsluitend recept
TOPIRAMAAT - 15 mg - Capsule;Topamax Sprinkle 15 mg, harde capsules;15 mg;TOPIRAMAAT;Capsule, hard;Uitsluitend recept
PARACETAMOL - 240 mg - Zetpil;Sinaspril paracetamol 240 mg, zetpil;240 mg;PARACETAMOL;Zetpil;Uitsluitend apotheek$SEMICOLON$ Uitsluitend apotheek of drogist$SEMICOLON$ Algemene verkoop - UA meer dan 20 eenheden - UAD maximaal 20 eenheden - AV maximaal 10 eenheden
AMYLASE/LIPASE/PANCREATINE/PROTEASE - 10.000 eenheden - Maagsapresistente capsule;Creon 10.000, harde maagsapresistente capsules 10.000 eenheden;10.000 eenheden;AMYLASE/LIPASE/PANCREATINE/PROTEASE;Maagsapresistente capsule, hard;Uitsluitend recept
ELETRIPTAN - 40 mg - Filmomhulde tablet;Relpax 40, filmomhulde tabletten 40 mg;40 mg;ELETRIPTAN;Filmomhulde tablet;Uitsluitend recept
NOSCAPINE - 1 mg/ml - Stroop;Noscapine HCl hoestdrank Sanias 1 mg/ml, stroop;1 mg/ml;NOSCAPINE;Stroop;Uitsluitend apotheek of drogist
ALLOPURINOL - 200 mg - Tablet;Zyloric 200, tabletten 200 mg;200 mg;ALLOPURINOL;Tablet;Uitsluitend recept
ALBENDAZOL - 400 mg - Filmomhulde tablet;Eskazole 400 mg tabletten;400 mg;ALBENDAZOL;Filmomhulde tablet;Uitsluitend recept
BOOMPOLLENEXTRACT, GEMODIFICEERD EN GEADSORBEERD/BOOMPOLLENEXTRACT, GEMODIFICEERD EN GEADSORBEERD/BOOMPOLLENEXTRACT, GEMODIFICEERD EN GEADSORBEERD - 0,5 ml - Suspensie voor injectie;Pollinex boompollen Instelkuur, suspensie voor injectie in een voorgevulde spuit 300, 800 en 2000 SU/0,5 ml;0,5 ml;BOOMPOLLENEXTRACT, GEMODIFICEERD EN GEADSORBEERD/BOOMPOLLENEXTRACT, GEMODIFICEERD EN GEADSORBEERD/BOOMPOLLENEXTRACT, GEMODIFICEERD EN GEADSORBEERD;Suspensie voor injectie;Uitsluitend recept
HALOPERIDOL - 100 mg/ml - Oplossing voor injectie;Haldol decanoas 100 mg/ml, oplossing voor injectie;100 mg/ml;HALOPERIDOL;Oplossing voor injectie;Uitsluitend recept
LIDOCAÏNE - 100 mg/ml - Spray voor oromucosaal gebruik;Xylocaine 100 mg/ml spray;100 mg/ml;LIDOCAÏNE;Spray voor oromucosaal gebruik;Uitsluitend recept
CARBIDOPA /LEVODOPA -  - Tablet met gereguleerde afgifte;Sinemet CR 250, tabletten met gereguleerde afgifte;;CARBIDOPA /LEVODOPA;Tablet met gereguleerde afgifte;Uitsluitend recept
VALSARTAN - 320 mg - Filmomhulde tablet;Diovan 320 mg filmomhulde tabletten;320 mg;VALSARTAN;Filmomhulde tablet;Uitsluitend recept
TACROLIMUS - 1 mg - Capsule;Tacrolimus Eureco-Pharma 1 mg capsules, hard;1 mg;TACROLIMUS;Capsule, hard;Uitsluitend recept
LIDOCAÏNE/PRILOCAÏNE - 5% - Crème;Emla, hydrofiele creme 5%;5%;LIDOCAÏNE/PRILOCAÏNE;Crème;Uitsluitend recept
ONDANSETRON - 8 mg - Orodispergeerbare tablet;Zofran 8 Zydis, smelttabletten 8 mg;8 mg;ONDANSETRON;Orodispergeerbare tablet;Uitsluitend recept
CEFUROXIMAXETIL - 250 mg - Filmomhulde tablet;Zinnat 250 mg filmomhulde tabletten;250 mg;CEFUROXIMAXETIL;Filmomhulde tablet;Uitsluitend recept
BUMETANIDE - 5 mg - Tablet;Burinex 5 mg, tabletten;5 mg;BUMETANIDE;Tablet;Uitsluitend recept
RISPERIDON - 3 mg - Filmomhulde tablet;Risperidon G.L. 3 mg filmomhulde tabletten, filmomhulde tabletten;3 mg;RISPERIDON;Filmomhulde tablet;Uitsluitend recept
DIMETHYL - 120 mg - Maagsapresistente capsule;Dimethylfumaraat Macleods 120 mg maagsapresistente harde capsules;120 mg;DIMETHYL;Maagsapresistente capsule, hard;Uitsluitend recept
FULVESTRANT - 250 mg - Oplossing voor injectie;Fulvestrant Glenmark 250 mg oplossing voor injectie in een voorgevulde spuit;250 mg;FULVESTRANT;Oplossing voor injectie;Uitsluitend recept
SOTALOL - 160 mg - Tablet;Sotalol HCl Sandoz 160 mg, tabletten;160 mg;SOTALOL;Tablet;Uitsluitend recept
MORFINE - 1 mg/ml - Oplossing voor infusie;Sendolor 1 mg/ml, oplossing voor infusie;1 mg/ml;MORFINE;Oplossing voor infusie;Uitsluitend recept
CINNARIZINE - 25 mg - Tablet;Livsane reistabletten Cinnarizine 25 mg, tabletten;25 mg;CINNARIZINE;Tablet;Uitsluitend apotheek of drogist
CARVEDILOL/IVABRADINE - 12,5 mg/5 mg - Filmomhulde tablet;Prescoriel 12,5 mg/5 mg filmomhulde tabletten;12,5 mg/5 mg;CARVEDILOL/IVABRADINE;Filmomhulde tablet;Uitsluitend recept
PIRFENIDON - 801 mg - Filmomhulde tablet;Pirfenidon Accord 801 mg, filmomhulde tabletten;801 mg;PIRFENIDON;Filmomhulde tablet;Uitsluitend recept
MITOMYCINE - 40 mg - Poeder voor oplossing voor injectie of infusie;Mitomycine Accord 40 mg, poeder voor oplossing voor injectie/infusie;40 mg;MITOMYCINE;Poeder voor oplossing voor injectie of infusie;Uitsluitend recept
DASATINIB - 70 mg - Filmomhulde tablet;Dasatinib Synthon 70 mg, filmomhulde tabletten;70 mg;DASATINIB;Filmomhulde tablet;Uitsluitend recept
FLUCLOXACILLINE  /FLUCLOXACILLINE  /FLUCLOXACILLINE  /FLUCLOXACILLINE - 125 mg - Poeder voor oplossing voor injectie;Flucloxacilline CF, poeder voor injectievloeistof 125 mg, 250 mg, 500 mg en 1 g;125 mg;FLUCLOXACILLINE  /FLUCLOXACILLINE  /FLUCLOXACILLINE  /FLUCLOXACILLINE;Poeder voor oplossing voor injectie;Uitsluitend recept
MELFALAN - 50 mg - Poeder en oplosmiddel voor oplossing voor injectie;Melfalanhydrochloride Teva 50 mg, poeder en oplosmiddel voor oplossing voor injectie/infusie;50 mg;MELFALAN;Poeder en oplosmiddel voor oplossing voor injectie, Poeder en oplosmiddel voor oplossing voor infusie;Uitsluitend recept
AZACITIDINE - 25 mg/ml - Poeder voor suspensie voor injectie;Azacitidine Eugia 25 mg/ml, poeder voor suspensie voor injectie;25 mg/ml;AZACITIDINE;Poeder voor suspensie voor injectie;Uitsluitend recept
VALPROAAT/VALPROAAT/VALPROÏNEZUUR - 500 mg - Tablet met gereguleerde afgifte;Natriumvalproaat chrono 500 mg Teva, tabletten met gereguleerde afgifte;500 mg;VALPROAAT/VALPROAAT/VALPROÏNEZUUR;Tablet met gereguleerde afgifte;Uitsluitend recept
MIRTAZAPINE - 45 mg - Filmomhulde tablet;Mirtazapine Viatris 45 mg, filmomhulde tabletten;45 mg;MIRTAZAPINE;Filmomhulde tablet;Uitsluitend recept
ABIRATERON - 500 mg - Filmomhulde tablet;Abirateron betapharm 500 mg, filmomhulde tabletten;500 mg;ABIRATERON;Filmomhulde tablet;Uitsluitend recept
IRINOTECAN - 20 mg/ml - Concentraat voor oplossing voor infusie;Irinotecan Amarox 20 mg/ml, concentraat voor oplossing voor infusie;20 mg/ml;IRINOTECAN;Concentraat voor oplossing voor infusie;Uitsluitend recept
OXYCODON - 20 mg - Tablet met verlengde afgifte;Oxycodon-HCl Accord retard 20 mg tabletten met verlengde afgifte;20 mg;OXYCODON;Tablet met verlengde afgifte;Uitsluitend recept
TICAGRELOR - 90 mg - Filmomhulde tablet;Ticagrelor Krka 90 mg filmomhulde tabletten;90 mg;TICAGRELOR;Filmomhulde tablet;Uitsluitend recept
CARBOPLATINE - 10 mg/ml - Concentraat voor oplossing voor infusie;Carboplatine Fresenius Kabi 10 mg/ml, concentraat voor oplossing voor infusie;10 mg/ml;CARBOPLATINE;Concentraat voor oplossing voor infusie;Uitsluitend recept
(Ca2+)/  (E 509)/  (E 509)/ (CL-)/GLUCOSE /GLUCOSE /GLUCOSE /LACTAAT (S-VORM) (-)/ (MG2+) /  (E 511)/  (E 511)/ (NA+) ///LACTAAT (R,S) (E 325)/LACTAAT (S-VORM) (E 325)/ (E 500 (II))/ (E 500 (II))/ (HCO3-) - 40 G - Oplossing voor peritoneale dialyse;Physioneal 40 Glucose 1,36% w/v / 13,6 mg/ml Clear-Flex, oplossing voor peritoneale dialyse;40 G;(Ca2+)/  (E 509)/  (E 509)/ (CL-)/GLUCOSE /GLUCOSE /GLUCOSE /LACTAAT (S-VORM) (-)/ (MG2+) /  (E 511)/  (E 511)/ (NA+) ///LACTAAT (R,S) (E 325)/LACTAAT (S-VORM) (E 325)/ (E 500 (II))/ (E 500 (II))/ (HCO3-);Oplossing voor peritoneale dialyse;Uitsluitend recept
LEVOFLOXACINE - 500 mg - Filmomhulde tablet;Levofloxacine Beximco 500 mg, filmomhulde tabletten;500 mg;LEVOFLOXACINE;Filmomhulde tablet;Uitsluitend recept
GLIMEPIRIDE - 3 mg - Tablet;Glimepiride Accord 3 mg tabletten;3 mg;GLIMEPIRIDE;Tablet;Uitsluitend recept
HYDROCHLOORTHIAZIDE/TELMISARTAN - 80/25 mg - Tablet;Telmisartan/HCT Teva 80/25 mg, tabletten;80/25 mg;HYDROCHLOORTHIAZIDE/TELMISARTAN;Tablet;Uitsluitend recept
